#Data Set Export - Rainfall.Continuous@A64878,,,,
"GENERAL TERMS AND CONDITIONS
1. Auckland Council owns the copyright on the data.
2. Auckland Council shall be acknowledged as the source of the data used in any publication, media statement or other documents, or oral statements which include the data and are made available to third parties, including the general public.
3. The data is provided with the understanding that it is for the sole use of the recipient, or its agents, and it is not intended that this data will be sold, lent or given to any third party other than for the purposes it is provided for. Data may not be sold to any third party in an unmodified form without agreement of Auckland Council.
4. The user of the data agrees to indemnify Auckland Council for any losses sustained as a consequence of a breach of any of these conditions.
5. A copy of these terms and conditions shall accompany any of the attached data which is made available to third parties.
DISCLAIMER
The data is supplied on the basis that it is accurate to the best of Auckland Council knowledge and belief. While Auckland Council has exercised all reasonable skill and care in compiling and providing this data, Auckland Council accepts no liability in contract, tort or otherwise howsoever, for any loss, damage, injury or expense (whether direct, indirect or consequential) arising out of the provision of this data or its use by you.
NOTE ON DATA
Data users are cautioned to consider carefully the nature of this data before using it for decisions that concern personal or public safety or the conduct of business that involves monetary or operational consequences.
Data users are cautioned to consider carefully using or interpreting this data for purposes other than that for which it was collected.  Auckland Council should be consulted to verify whether the data is being correctly interpreted.
DATA QUALITY
Data provided may include both measured and synthesised data. Measured data may also include data of different quality. Please request quality codes with your data set if you wish to identify these types of data.
",,,,
Timestamp (UTC+12:00),Value (Millimetres),Grade Code,Interpolation Type,Event Timestamp
1962-09-02 08:00:00,15.75,200,5,
1962-09-04 08:00:00,0,200,5,
1962-09-05 08:00:00,2.03,200,5,
1962-09-06 08:00:00,0,200,5,
1962-09-07 08:00:00,20.32,200,5,
1962-09-08 08:00:00,4.83,200,5,
1962-09-09 08:00:00,0,200,5,
1962-09-10 08:00:00,9.39,200,5,
1962-09-13 08:00:00,0,200,5,
1962-09-14 08:00:00,11.43,200,5,
1962-09-15 08:00:00,2.04,200,5,
1962-09-16 08:00:00,0.25,200,5,
1962-09-22 08:00:00,0,200,5,
1962-09-23 08:00:00,21.08,200,5,
1962-09-25 08:00:00,0,200,5,
1962-09-26 08:00:00,0.51,200,5,
1962-10-01 08:00:00,0,200,5,
